tree_type,tree_height,leaf_width,root_depth,yearly_amount,price_per_orange
Navel,2.1052277768465437,2.3153661580741165,1.4897637592013053,1006.0,0.3
Navel,1.9566163627245863,2.247529912900864,1.360776122314468,979.0,0.3
Valencia,2.402361059169234,4.929532053816986,2.949420806925761,1013.0,0.25
Blood Orange,3.8279232710448237,2.617375887624443,1.7445306688475763,1251.0,0.35
Navel,2.8564089377056905,2.62677704476994,1.6381288235671227,838.0,0.3
Navel,2.335103229736053,2.7084502958035745,1.5162524323144768,831.0,0.3
Navel,2.2589771007478476,2.22418008889992,1.4316701244723986,802.0,0.3
Navel,1.9298247216270097,2.044968321187545,1.2356941672441608,765.0,0.3
Mandarin,3.4686849981714647,2.8156495237782924,1.689065550541303,1431.0,0.2
Mandarin,3.7003908810602884,2.7111698791289367,1.467245886515413,1172.0,0.2
Blood Orange,3.8701266929247837,3.105876038490933,2.332647189856138,1280.0,0.35
Blood Orange,3.250851361406685,2.69999044640131,1.9414151148109215,1171.0,0.35
Blood Orange,3.8240460341341573,2.4957609889222914,1.8951347751202128,1000.0,0.35
Blood Orange,3.4767130929270587,3.104866652093226,2.0043975459210794,1262.0,0.35
Blood Orange,3.875214786738142,2.783395225816014,1.71111074881635,1045.0,0.35
Blood Orange,3.4516363182397374,2.021307970224516,1.6313686539390897,1292.0,0.35
Valencia,2.443684830424687,3.4814814737734623,0.4592029855553752,1009.0,0.25
Valencia,2.168675308109917,4.137826865630451,1.8308427488580845,885.0,0.25
Navel,2.3371415571949847,2.6664200185045703,1.326572635226713,894.0,0.3
Mandarin,4.132287403422479,2.8528716256948377,1.658946968667694,1339.0,0.2
Valencia,2.840543306895653,2.7022091205982717,1.6909870309528778,749.0,0.25
Mandarin,3.4732896694288646,3.095235187930829,1.6261190512840744,1135.0,0.2
Blood Orange,3.649683607162273,2.820167895713726,2.038307750214037,1194.0,0.35
Navel,2.871706293701931,1.7860784452993124,1.3805721241252877,632.0,0.3
Valencia,2.2844231538593904,2.9474327037304535,0.06372019415349306,1028.0,0.25
Mandarin,3.8347567093679222,2.909695433712809,1.788911480152882,1126.0,0.2
Mandarin,4.386773692475208,2.917027996806378,1.702138712641947,1141.0,0.2
Navel,2.529456007250575,2.8621959812758044,1.6528112155350272,786.0,0.3
Mandarin,3.5923850456646824,3.260913116273739,1.842951553333842,1291.0,0.2
Mandarin,4.14539895038239,2.568262687892453,1.605954858135894,1302.0,0.2
Valencia,5.76470003722073,1.9399841772784527,1.8640502993216792,1171.0,0.25
Blood Orange,4.0397999901009065,2.974186799099046,1.9797171453665692,958.0,0.35
Navel,2.464550786461429,2.2279287184012597,1.5999574623047872,745.0,0.3
Valencia,2.8589102484199076,3.3731201607392753,1.6139712289711723,815.0,0.25
Blood Orange,3.5532044541160466,3.1694359514940658,1.6746348382486511,1001.0,0.35
Mandarin,3.584142000326285,2.7644151647686854,1.6787825917138595,1092.0,0.2
Navel,2.582354907317182,2.1436339668017887,1.326396711121372,763.0,0.3
Mandarin,3.8873685139601957,2.79826932867975,1.652595047952353,1079.0,0.2
Mandarin,4.03197589322078,2.4448358079420043,1.401124164300489,1291.0,0.2
Mandarin,4.101821876534488,2.488865539142574,1.5292098558056841,1035.0,0.2
Blood Orange,3.359256836139961,2.5964806492264696,1.8118154735414815,1062.0,0.35
Blood Orange,3.864323143460429,2.6347772858322704,1.910894769929419,1086.0,0.35
Blood Orange,3.332549626632745,2.5405521315496054,2.172906369620494,1007.0,0.35
Navel,2.4413748389254257,1.9941618247195934,1.6285399763278412,741.0,0.3
Navel,2.709537144732201,2.501508355634508,1.6397772561171455,841.0,0.3
Blood Orange,3.890706013452962,3.160907397200292,1.7478105409297364,1088.0,0.35
Navel,2.41967993893181,2.0487954674119973,1.5420662557974445,681.0,0.3
Navel,1.9823842835332561,2.643699835456852,1.6322902431104533,825.0,0.3
Mandarin,3.2905682541703234,2.9161841426185187,1.4616653655896716,1047.0,0.2
Navel,1.9096215395101424,2.5243532801597333,1.5673078323161633,526.0,0.3
Blood Orange,3.7985515972484345,2.8443312248712114,1.82931365024856,882.0,0.35
Valencia,4.526863361697738,2.1970052580125357,3.022303203083373,1226.0,0.25
Blood Orange,3.390471122076955,2.621025753509901,2.053332636329017,1148.0,0.35
Mandarin,3.961985729650023,2.1246216437860044,1.7484574115606426,1190.0,0.2
Navel,2.0660395901309836,2.820119179736011,1.4536328332842436,772.0,0.3
Mandarin,4.120477907083123,3.1639262818142204,1.9717078203573832,1452.0,0.2
Mandarin,4.078851533443858,2.9746673774193773,1.4858095393190784,1219.0,0.2
Blood Orange,3.554739113045791,2.67536514680196,2.2861295438672724,1127.0,0.35
Valencia,2.439785344736685,1.5830938868737405,2.8689634868967953,1042.0,0.25
Mandarin,3.8023898820949467,3.1265718757325653,1.8118467453960394,1321.0,0.2
Blood Orange,3.461669856070976,2.6101448709000215,1.8828138466056774,1126.0,0.35
Valencia,2.835575994159064,3.98742449512722,1.2814503181737016,1291.0,0.25
Valencia,1.7344458432179835,3.8202478373246813,2.463130329318607,1042.0,0.25
Mandarin,3.2282488376222345,2.884613298071994,1.4568540111063615,1117.0,0.2
Blood Orange,3.418868335121359,2.6552925351603074,1.8121620956395703,1124.0,0.35
Mandarin,3.2549682001679834,2.743595530282012,1.8133600071592166,959.0,0.2
Navel,1.8950780116600718,2.2842181466501996,1.4586494198159166,715.0,0.3
Mandarin,3.4794576862682747,3.2966048199964173,1.9277897965801079,1406.0,0.2
Blood Orange,3.869992082036896,3.157359707195692,1.7182473508081892,1043.0,0.35
Valencia,2.5173302194277802,1.4669844874997258,3.546245556604636,1019.0,0.25
Blood Orange,4.129664828900622,3.038283016051896,1.890859207867953,1130.0,0.35
Navel,2.6333894928058084,2.161295305007398,1.6339914536570967,846.0,0.3
Valencia,6.235468863076296,2.926075333719585,1.3414470331949961,923.0,0.25
Blood Orange,3.5837447669431275,2.725529064574156,1.8774596702957247,964.0,0.35
Blood Orange,3.9837213959830295,2.841446049663866,1.8305098695002873,1022.0,0.35
Mandarin,4.297838100448837,2.5089723333146745,1.99385024440603,1059.0,0.2
Mandarin,3.4003365036216495,2.2094125930641937,1.7009915519798877,1226.0,0.2
Blood Orange,4.050145048980627,3.1179433726101515,1.7028080073004719,1113.0,0.35
Mandarin,3.29563453535167,2.5333085925713648,1.8363176941477686,1067.0,0.2
Blood Orange,3.7407524354477193,2.929513889581577,1.9070885544278466,1035.0,0.35
Mandarin,3.128118782401479,2.920449716527086,1.983730584629049,1210.0,0.2
Navel,2.490379183835646,2.480906453771784,1.458398557634684,743.0,0.3
Valencia,3.2561760586922026,1.7914263462667788,1.7579801701297806,1228.0,0.25
Valencia,2.6360053018736807,1.6403029607250066,-0.1380173493575767,1060.0,0.25
Blood Orange,3.6573750003584053,2.924080338980299,2.0884936238440788,1064.0,0.35
Mandarin,3.8053815365568404,2.1143560264227625,1.5781732308597656,997.0,0.2
Navel,3.103377004438941,2.4821618294176573,1.529260454572707,586.0,0.3
Valencia,3.492564348524845,1.831069644335326,0.08559237408956877,1011.0,0.25
Mandarin,3.8111017165730448,3.030370722319811,1.888481973110178,1145.0,0.2
Navel,2.7497136299259726,2.3313176486212583,1.16234575613279,598.0,0.3
Navel,2.158059263371968,2.8139830084962,1.416853556014305,744.0,0.3
Blood Orange,3.455675246004563,2.4474232574312116,2.2061653595508504,1096.0,0.35
Blood Orange,3.5231606400840754,2.6289908448320163,1.9703560221362715,1151.0,0.35
Valencia,2.4246204891632916,2.1585433286993068,1.8656537507362034,886.0,0.25
Valencia,1.139484785899823,3.4173188210318353,1.055631509175706,1036.0,0.25
Blood Orange,3.542510945690173,3.0641591692178864,1.7397597914027352,988.0,0.35
Mandarin,3.8345443619420276,2.686255731136023,1.5386465703286154,1005.0,0.2
Blood Orange,3.8659383004496672,2.8292514127460513,1.7688011640232277,1268.0,0.35
Mandarin,4.002938219708486,2.6853973133266535,1.766361159862254,1155.0,0.2
Valencia,4.785131771599488,2.4117451826743417,0.599738092848298,1459.0,0.25
Valencia,2.175241155412004,2.8825254535818887,2.4661664260340306,944.0,0.25
Blood Orange,3.7204145473947565,2.6226712456171226,1.968411502553841,1022.0,0.35
Mandarin,3.772885397816916,3.210279171942014,1.9551614829722277,1051.0,0.2
Mandarin,3.766017367417766,3.2015344149379263,1.8518686442293995,1285.0,0.2
Mandarin,3.8860713464010037,2.103821717262777,1.8475740939439034,1278.0,0.2
Valencia,3.6101687866988765,3.2353336688215624,1.145495128306438,1084.0,0.25
Mandarin,3.6887887990338637,2.5163152613331126,1.6600888633808433,1011.0,0.2
Mandarin,3.9705398637675384,2.6890251778544974,1.9424430326174205,1197.0,0.2
Valencia,0.5949411414013022,3.376876520850893,1.4542880259822177,717.0,0.25
Mandarin,4.005015210560838,2.729522603537254,1.938060406038646,1341.0,0.2
Navel,2.9268950489548318,2.658434633982624,1.4112895998287833,935.0,0.3
Blood Orange,3.3714057229890786,3.0074416623798577,1.8653456057636202,1246.0,0.35
Mandarin,4.4350373064451025,2.3167364789650198,1.7946347892209669,1557.0,0.2
Blood Orange,3.145184934785299,3.3209806145413037,2.156474483719497,1054.0,0.35
Navel,2.396125165705807,2.1821454715714004,1.529695093491745,930.0,0.3
Navel,2.863509537662266,2.2030922849316665,1.6647820005592342,645.0,0.3
Mandarin,4.0809337177493346,2.789471446939099,1.989761675713315,1232.0,0.2
Blood Orange,3.669768782552781,2.8650012663502267,1.8773868189050107,1058.0,0.35
Valencia,4.59333923514958,2.8987185137826006,1.1968586126583718,930.0,0.25
Navel,2.402630055294848,2.6133152713871604,1.3803113063857748,988.0,0.3
Navel,2.2201632875480684,2.997327753782062,1.6219011063163564,870.0,0.3
Navel,2.2399631295245204,2.273523730257632,1.4585320877404453,543.0,0.3
Mandarin,3.9692025605221426,2.4146343106022417,1.7843484762757962,1052.0,0.2
Navel,2.4433684308771575,1.704410125125606,1.4592474896965146,817.0,0.3
Blood Orange,3.33200423193267,3.0389467410207183,1.9020698629132597,1197.0,0.35
Blood Orange,3.656421614605284,2.5504892002957784,1.696590584255525,953.0,0.35
Mandarin,3.9344585853269933,3.308854471848448,1.7977713444967947,1323.0,0.2
Blood Orange,3.4368836925289394,3.035980287430883,1.6790627000801477,1002.0,0.35
Mandarin,3.664609088869242,2.8797063924898705,1.9084650740606697,1204.0,0.2
Navel,2.76669403360137,3.178184733133821,1.497955873621627,767.0,0.3
Blood Orange,3.425344176702036,2.905337805960887,1.7161773110260112,1126.0,0.35
Navel,2.3823911721065123,2.4858274040959842,1.453325850205557,487.0,0.3
Navel,2.946806788622344,2.7085214993102853,1.5917890789096736,639.0,0.3
Mandarin,3.79008889614047,3.160381330898503,1.7874593357482473,1037.0,0.2
Valencia,1.9231188877178034,4.312470367140996,1.1410276115556577,865.0,0.25
Valencia,1.6228390163843218,3.082693089295041,3.0225684041197773,778.0,0.25
Blood Orange,3.579885668537112,2.802195736956496,2.0881835229150227,1155.0,0.35
Mandarin,3.7967195355897423,2.701772383591727,1.9097933223824768,1117.0,0.2
Navel,2.8035527298982568,2.2368195820955323,1.5702577851415578,1008.0,0.3
Blood Orange,3.602421844532275,2.8246731985519853,1.8805784720164924,1126.0,0.35
Valencia,2.198735656368721,3.3269625954044573,2.3300351145103115,1334.0,0.25
Navel,2.348496097396711,2.654440261580995,1.4302469929518289,814.0,0.3
Blood Orange,3.618051229969461,3.116819157202107,1.7303358954389534,1056.0,0.35
Blood Orange,3.632940024683162,2.995509580079281,1.5398397768260876,1162.0,0.35
Blood Orange,3.86450910111309,2.7652168408117523,1.7500619310594205,1104.0,0.35
Mandarin,3.3849951881922498,2.713782847275671,1.5190280088520156,1049.0,0.2
Valencia,1.0284416477632692,2.593928203740168,1.4647298354671556,1004.0,0.25
Blood Orange,3.6764821341440435,3.228691029658303,1.9564395149516844,987.0,0.35
Blood Orange,3.6073717074697225,2.924863614257678,1.9454785550242255,963.0,0.35
Valencia,4.3793287477615825,1.5916732067545978,2.096310789671172,993.0,0.25
Blood Orange,3.9784816120603663,2.742156002887653,1.851732441709379,981.0,0.35
Navel,2.3017498770900593,2.6221597286412073,1.2705196498793885,715.0,0.3
Mandarin,4.197938492709707,2.5106180727381204,1.8089842024674414,1168.0,0.2
Navel,2.7501875706738885,2.2430361530931155,1.4849969617061325,830.0,0.3
Blood Orange,3.694909564623059,2.699625778651406,1.7705637136304477,1164.0,0.35
Mandarin,3.8154791020764565,2.7176529839493377,2.0057829644042937,1156.0,0.2
Blood Orange,3.300207742118027,2.514603150082053,2.41888491755363,1045.0,0.35
Blood Orange,3.2954512621457193,3.288642997330349,1.9828985719469558,1007.0,0.35
Blood Orange,3.3018947809612436,3.35568090003199,1.7956840644013252,940.0,0.35
Blood Orange,3.8068168559013555,2.951615354357215,1.946653769079305,1137.0,0.35
Blood Orange,3.313877415834321,2.5496631767401725,2.106087653483121,824.0,0.35
Mandarin,3.314074064791901,2.5442422540904253,1.8580094857250258,1337.0,0.2
Navel,2.8975042158660447,2.582133025511184,1.5067701023148015,1081.0,0.3
Valencia,3.5011960113709875,2.4625642319599845,2.3123348951471163,1007.0,0.25
Blood Orange,4.15746976404612,2.8353568420808073,1.961666249191869,914.0,0.35
Valencia,5.202361511273808,2.160060142418694,1.2195759492300595,972.0,0.25
Valencia,2.049256005832626,2.468394091988545,2.365848787916858,1195.0,0.25
Mandarin,3.944206788591178,2.8036927884683167,1.982136536092104,1114.0,0.2
Mandarin,3.9521716853328845,2.7651310898838553,1.657876710763968,1237.0,0.2
Mandarin,4.009763037642433,3.1048585601760283,1.7703522913306413,1251.0,0.2
Blood Orange,4.421326460684297,2.5802097232429353,1.8268897820027925,1227.0,0.35
Blood Orange,3.2587566619652257,3.3826253377922177,2.1987708558956305,1101.0,0.35
Blood Orange,3.3697258676121216,3.1422206596407625,1.9451163327137606,1288.0,0.35
Mandarin,3.7085790557495275,2.6250596128116794,1.743065323580144,1179.0,0.2
Navel,2.607851319871303,2.442173273226506,1.445760107882757,928.0,0.3
Valencia,3.580052096853435,3.996739464026774,1.450198041916443,738.0,0.25
Blood Orange,3.754361517545603,2.9446982164332947,1.7401155200913805,1133.0,0.35
Blood Orange,3.866273909928653,3.1416203382620593,1.8732215530817518,1022.0,0.35
Valencia,3.6671552156517575,3.8924738873315303,1.5776851758747292,1016.0,0.25
Valencia,4.236410677709285,2.497059446109329,1.743994671349601,1081.0,0.25
Mandarin,3.785202778955728,2.8717100803740294,1.6499504476569442,1451.0,0.2
Blood Orange,3.0435740347707654,2.9419661288281564,1.7146181725672651,982.0,0.35
Mandarin,3.864489677187828,2.829165769600875,1.952349792231315,1305.0,0.2
Valencia,1.523092554618217,1.2022894816715066,0.8629295683110534,1156.0,0.25
Navel,2.8351915946609996,2.292439918230059,1.3869443300729098,817.0,0.3
Valencia,4.5646889445684895,2.370459314479113,3.125085878933847,1153.0,0.25
Blood Orange,3.7409189358955124,2.4560280000095425,2.233850161275394,1141.0,0.35
Blood Orange,3.9092291151355427,2.7327985412289935,2.0817785378995834,1345.0,0.35
Blood Orange,3.7524411557534787,2.7501939306350702,1.906617950227752,985.0,0.35
Navel,2.7832579466062706,2.077669556757044,1.5191497649199417,445.0,0.3
Mandarin,3.395476073673164,3.179494998956877,1.754882418528596,1101.0,0.2
Valencia,0.7467627431918307,3.579218276426463,3.4603509462013644,1224.0,0.25
Blood Orange,3.6995100816492807,3.0038501565427818,1.6937035079369482,907.0,0.35
Navel,2.5829096245915997,2.4971027396078087,1.2886745786961074,821.0,0.3
Mandarin,3.541921264412744,2.8984903885002264,1.7398053292299736,1153.0,0.2
Valencia,2.6423878755643897,3.1226882397551012,0.847865575192615,842.0,0.25
Navel,2.7032386508039234,2.520728155792969,1.3681259056747388,772.0,0.3
Mandarin,3.781636764738189,2.2321655928055533,1.7232915616050035,1509.0,0.2
Blood Orange,3.721859232334633,3.0658145224197932,1.6790766804947057,1096.0,0.35
Navel,2.185819886731695,2.898044792810377,1.6245560642460362,981.0,0.3
Blood Orange,3.578281405970583,3.2147917824027035,2.0408222044283164,898.0,0.35
Mandarin,4.015038406018024,2.8186440208837844,1.7858760113423102,1338.0,0.2
Blood Orange,3.855623126631957,3.176144618392869,1.6970348184531117,1019.0,0.35
Mandarin,3.558030563341305,3.4048640252324,1.7546772266600288,1301.0,0.2
Mandarin,3.4561998720477667,2.8141198283975477,1.9236835829346355,1280.0,0.2
Valencia,3.1381193119337563,3.314340703315488,2.0363254755337596,1080.0,0.25
Blood Orange,3.0815639132309456,2.5818604662419204,2.203751867392716,942.0,0.35
Navel,2.411672467290877,1.8973697417370534,1.429897307614249,868.0,0.3
Mandarin,3.8620071535124008,2.9593127520934175,1.835871837098068,1410.0,0.2
Blood Orange,3.409650757773595,2.926523922370919,1.8187100322822423,926.0,0.35
Mandarin,3.663252395660189,3.2278476256057798,1.9404193722466623,1302.0,0.2
Navel,2.544539706608483,2.904486782995925,1.6267719491047636,891.0,0.3
Blood Orange,3.6675023844426353,2.610745679796033,2.0541346108926684,1082.0,0.35
Valencia,2.9796849202658597,2.2013391474874346,2.9775817312194635,1134.0,0.25
Blood Orange,3.3810550377117616,3.1480342071296263,2.2810127281120036,1098.0,0.35
Valencia,2.8962194151968914,1.6039945908169062,2.7547995149908275,937.0,0.25
Mandarin,4.0880143223449785,2.675050275268992,1.7584765507839168,1369.0,0.2
Valencia,3.7668584559829585,2.772038755898912,2.112592836571828,1055.0,0.25
Mandarin,3.8056375375322773,2.6218667656663994,1.4982179521132937,1288.0,0.2
Valencia,2.2196894019033486,1.7587303604771127,3.993428590632207,787.0,0.25
Blood Orange,3.201347132409062,2.596399654260185,2.074192356434324,981.0,0.35
Mandarin,4.020913984805452,3.021628337667235,1.8662301013570297,1307.0,0.2
Blood Orange,3.667007805208369,3.1201277997942776,1.8091839274968788,1112.0,0.35
Blood Orange,3.736880156686685,2.750127720247977,1.8104678641674852,1253.0,0.35
Valencia,3.3033642065029856,2.5919852909601033,3.774658560973333,941.0,0.25
Blood Orange,3.0125445376922615,2.7095725145864735,2.014970472347071,951.0,0.35
Valencia,4.246915728454071,3.4790952240982285,1.2218164785438779,1261.0,0.25
Navel,2.935789910794796,1.8077660717353958,1.4802188112379202,780.0,0.3
Navel,3.1962399517840896,2.546836348862177,1.5801301756268658,838.0,0.3
Blood Orange,3.928754566829812,3.0107314739097015,1.7576211374991257,1239.0,0.35
Blood Orange,3.4979253047768544,2.4647442979102747,1.743939118699692,1137.0,0.35
Mandarin,3.6397794583869416,2.9536672608963843,1.8908672537679379,814.0,0.2
Mandarin,3.623231304046955,2.665460498138782,1.8197360951862103,989.0,0.2
Mandarin,3.9714189450822848,2.7889329068161395,1.9173136100365908,1084.0,0.2
Blood Orange,3.0461269327063847,3.46090047364566,1.6154410182747314,1360.0,0.35
Mandarin,3.264801694149309,2.3533338823210754,1.7136832551798669,1241.0,0.2
Valencia,3.5070964467274592,3.547480572104665,1.1862055167686942,783.0,0.25
Blood Orange,3.7481786629011675,3.194420532402587,2.2697341652631335,1001.0,0.35
Blood Orange,3.3355880457720284,2.5996996202456524,2.0046523477376152,1027.0,0.35
Blood Orange,3.7292540828992635,2.9032180870114432,1.768800379687967,1145.0,0.35
Mandarin,4.282556646784617,2.6315263751190336,1.8310906120460428,1246.0,0.2
Blood Orange,2.6848911001675333,3.0200264464950806,1.7502427229155062,959.0,0.35
Blood Orange,3.264998384397144,2.5628939202195746,1.8196884911001312,1037.0,0.35
Navel,2.4340270430954383,2.6152547612350494,1.5849140907114676,866.0,0.3
Blood Orange,3.510414815775006,2.812988405089345,1.743526606619582,1184.0,0.35
Navel,2.3903266393748197,2.3511082561861323,1.3512096583334632,794.0,0.3
Navel,2.3835537422553252,2.476028798931564,1.3800129565289003,774.0,0.3
Mandarin,3.9280219513994377,2.9309633671810507,1.826989830077122,1088.0,0.2
Blood Orange,3.870956213436586,2.7063852578072933,1.9209814330171024,1118.0,0.35
Valencia,3.8836013220411543,1.5453512894991543,3.5146418595255593,871.0,0.25
Navel,2.359752047902644,2.1550026801101065,1.5933778710457496,724.0,0.3
Navel,2.314748483150636,2.5985895770779304,1.5345384474700494,942.0,0.3
Mandarin,3.962036907920148,3.4871401211591615,2.040040172812314,1172.0,0.2
Valencia,2.6926843061910297,1.7644522670913734,1.4821832253041307,967.0,0.25
Blood Orange,3.6863681083929896,3.281489390221202,1.7454456234043594,1219.0,0.35
Navel,2.6999735684529633,2.241041089594032,1.526134552599572,778.0,0.3
Mandarin,4.031251088121481,2.8729504646207475,1.8585547415262933,1438.0,0.2
Blood Orange,3.7287839224308703,2.4651373308578015,1.9059186119174054,823.0,0.35
Valencia,4.248103494064444,3.164643809526398,2.885187541208927,1221.0,0.25
Blood Orange,3.5023486671332833,3.5142072636557433,1.9051958292258993,1084.0,0.35
Blood Orange,3.417083204260533,3.1607443986615937,1.982818270758719,1032.0,0.35
Blood Orange,3.27726618952374,2.932182273459085,1.5048970014440868,1076.0,0.35
Mandarin,4.030631193319842,2.6736017238025958,1.729603389558134,1331.0,0.2
Mandarin,4.055290826069542,2.7564299630766906,1.8880241811515321,1061.0,0.2
Blood Orange,3.431915285391622,2.7691872641537763,2.1042449486334327,1196.0,0.35
Mandarin,3.4092279090130253,2.949181291550084,1.6496817763799736,1191.0,0.2
Navel,2.3653698960683505,1.8023248973784178,1.749091133984177,630.0,0.3
Blood Orange,3.5865219187798423,2.6905725890525463,1.6119449534647854,1070.0,0.35
Navel,2.8294910622197538,2.4448643285615623,1.503807840660969,873.0,0.3
Blood Orange,3.0337388183851157,3.189918736199841,1.8264483850127988,925.0,0.35
Mandarin,3.3874446562048277,2.9502976696539838,1.7279626447507612,1340.0,0.2
Valencia,2.5104677694794844,3.6021169038160266,3.0257923244786573,1081.0,0.25
Mandarin,3.8442303204952912,2.506760536826239,1.9319084912870055,1295.0,0.2
Valencia,3.98057873323149,3.549177793143466,2.083888793161557,1252.0,0.25
Mandarin,4.342439543173692,2.930991542388788,1.828909349474959,1304.0,0.2
Blood Orange,3.460118176251679,2.9465841810136344,1.5310258544188442,1101.0,0.35
Navel,2.0880872347147315,2.0729031955923576,1.7641899191129795,890.0,0.3
Navel,2.1142931684885062,2.6241210493464835,1.3662878147835826,810.0,0.3
Blood Orange,3.5874900432581396,2.984003935665498,2.077298307871923,1063.0,0.35
Valencia,5.521873771659547,2.379833502929633,2.1563038352844917,910.0,0.25
Blood Orange,3.7745544354091765,2.7155170549396925,1.659252961560044,1156.0,0.35
Valencia,3.020185301652344,2.742793762149549,2.1652055467686724,1076.0,0.25
Blood Orange,4.5381997942691505,2.8497978715010834,1.7002302407809262,1000.0,0.35
Valencia,3.234396899717545,1.762926003408467,0.8826594406690749,959.0,0.25
Valencia,1.7047882007700057,2.88577444854982,2.0132397676675335,982.0,0.25
Valencia,4.151125999661584,4.075034009718181,1.0339319046530697,1159.0,0.25
Blood Orange,3.3006658399621975,3.2143049127072483,1.6034233284851913,923.0,0.35
Mandarin,3.515831036191689,3.332522821708827,1.9014497785191797,1334.0,0.2
Mandarin,3.8082529106089504,3.469604916857553,1.784253044847157,1405.0,0.2
Mandarin,3.982387821767787,2.3668250189217783,1.9015263097002704,941.0,0.2
Valencia,2.661364947971478,1.8417968148159711,0.38064001710245754,923.0,0.25
Valencia,2.6532469082484895,1.2694890500502638,1.8041580580600916,1264.0,0.25
Blood Orange,3.9068543707916583,2.4432721554238706,1.8193623386300932,1228.0,0.35
Navel,2.8459781161889843,1.7241758474392674,1.5594482526185984,740.0,0.3
Blood Orange,3.674405466253138,3.2867578742477113,1.887942493272176,1138.0,0.35
Mandarin,3.7589237229931367,2.601035407801337,1.6598768987090031,1319.0,0.2
Blood Orange,3.2032425110265397,3.149189910704954,1.870246769553264,1113.0,0.35
Blood Orange,3.8931160410276218,2.699302562292887,1.9427231195177483,1322.0,0.35
Valencia,1.0722723726602008,1.6269464639580715,3.866683148331627,1114.0,0.25
Blood Orange,2.733767995675507,2.8841353512046535,1.9661556079419364,1048.0,0.35
Blood Orange,3.7795208963897218,2.2646902980779435,1.7063835764670843,1164.0,0.35
Valencia,4.048544463530764,1.3317165653412915,3.9465165571409693,980.0,0.25
Blood Orange,3.2090676561886466,2.8911758150992712,1.9482407928437904,1252.0,0.35
Blood Orange,3.965965936389275,2.639377648525914,1.6449222151715832,879.0,0.35
Navel,2.6292313404836922,2.4400433633067444,1.3490944713119413,701.0,0.3
Mandarin,3.7443440714343033,2.2940033569293443,1.7264898111520888,1291.0,0.2
Mandarin,4.073960577275653,3.463391299971848,1.5303816293449655,1040.0,0.2
Valencia,2.3196601978778983,2.318747134130574,2.5712954617991546,894.0,0.25
Mandarin,4.102579186058031,2.9582792148322947,1.6914106943912097,1032.0,0.2
Blood Orange,3.4722668340612524,2.8792142497288133,2.07224756583251,1081.0,0.35
Mandarin,3.4061450976350622,3.2244622407767265,1.8234714385419448,1168.0,0.2
Blood Orange,3.719574010158519,2.753220229232367,1.7937641678045624,1034.0,0.35
Navel,2.549759056796061,3.0316565130982216,1.4927483064330271,727.0,0.3
Mandarin,4.512983701807698,3.177584388125742,1.8814771322319448,1136.0,0.2
Mandarin,4.097272752105454,2.743987266457066,1.5473224116862676,1321.0,0.2
